# delta    ubar_pos    ubar_neg
0.778600    0.461963    -1.414889
0.778700    0.461842    -1.414556
0.778800    0.461721    -1.414223
0.778900    0.461599    -1.413890
0.779000    0.461478    -1.413558
0.779100    0.461356    -1.413225
0.779200    0.461235    -1.412892
0.779300    0.461113    -1.412559
0.779400    0.460992    -1.412226
0.779500    0.460870    -1.411893
0.779600    0.460748    -1.411560
0.779700    0.460627    -1.411228
0.779800    0.460505    -1.410895
0.779900    0.460383    -1.410562
0.780000    0.460262    -1.410229
0.780100    0.460140    -1.409896
0.780200    0.460018    -1.409563
0.780300    0.459896    -1.409230
0.780400    0.459774    -1.408897
0.780500    0.459652    -1.408564
0.780600    0.459530    -1.408231
0.780700    0.459408    -1.407898
0.780800    0.459286    -1.407565
0.780900    0.459164    -1.407232
0.781000    0.459042    -1.406899
0.781100    0.458920    -1.406566
0.781200    0.458798    -1.406233
0.781300    0.458676    -1.405900
0.781400    0.458553    -1.405567
0.781500    0.458431    -1.405234
0.781600    0.458309    -1.404901
0.781700    0.458187    -1.404568
0.781800    0.458064    -1.404235
0.781900    0.457942    -1.403902
0.782000    0.457819    -1.403569
0.782100    0.457697    -1.403236
0.782200    0.457574    -1.402903
0.782300    0.457452    -1.402570
0.782400    0.457329    -1.402237
0.782500    0.457207    -1.401904
0.782600    0.457084    -1.401571
0.782700    0.456961    -1.401238
0.782800    0.456839    -1.400904
0.782900    0.456716    -1.400571
0.783000    0.456593    -1.400238
0.783100    0.456470    -1.399905
0.783200    0.456348    -1.399572
0.783300    0.456225    -1.399239
0.783400    0.456102    -1.398906
0.783500    0.455979    -1.398572
0.783600    0.455856    -1.398239
0.783700    0.455733    -1.397906
0.783800    0.455610    -1.397573
0.783900    0.455487    -1.397240
0.784000    0.455364    -1.396907
0.784100    0.455241    -1.396573
0.784200    0.455118    -1.396240
0.784300    0.454994    -1.395907
0.784400    0.454871    -1.395574
0.784500    0.454748    -1.395240
0.784600    0.454625    -1.394907
0.784700    0.454501    -1.394574
0.784800    0.454378    -1.394241
0.784900    0.454255    -1.393907
0.785000    0.454131    -1.393574
0.785100    0.454008    -1.393241
0.785200    0.453884    -1.392907
0.785300    0.453761    -1.392574
0.785400    0.453637    -1.392241
0.785500    0.453513    -1.391907
0.785600    0.453390    -1.391574
0.785700    0.453266    -1.391241
0.785800    0.453142    -1.390907
0.785900    0.453019    -1.390574
0.786000    0.452895    -1.390241
0.786100    0.452771    -1.389907
0.786200    0.452647    -1.389574
0.786300    0.452523    -1.389241
0.786400    0.452400    -1.388907
0.786500    0.452276    -1.388574
0.786600    0.452152    -1.388240
0.786700    0.452028    -1.387907
0.786800    0.451904    -1.387573
0.786900    0.451780    -1.387240
0.787000    0.451655    -1.386907
0.787100    0.451531    -1.386573
0.787200    0.451407    -1.386240
0.787300    0.451283    -1.385906
0.787400    0.451159    -1.385573
0.787500    0.451034    -1.385239
0.787600    0.450910    -1.384906
0.787700    0.450786    -1.384572
0.787800    0.450661    -1.384239
0.787900    0.450537    -1.383905
0.788000    0.450412    -1.383571
0.788100    0.450288    -1.383238
0.788200    0.450163    -1.382904
0.788300    0.450039    -1.382571
0.788400    0.449914    -1.382237
0.788500    0.449790    -1.381904
0.788600    0.449665    -1.381570
0.788700    0.449540    -1.381236
0.788800    0.449416    -1.380903
0.788900    0.449291    -1.380569
0.789000    0.449166    -1.380235
0.789100    0.449041    -1.379902
0.789200    0.448916    -1.379568
0.789300    0.448791    -1.379234
0.789400    0.448666    -1.378901
0.789500    0.448541    -1.378567
0.789600    0.448416    -1.378233
0.789700    0.448291    -1.377900
0.789800    0.448166    -1.377566
0.789900    0.448041    -1.377232
0.790000    0.447916    -1.376899
0.790100    0.447791    -1.376565
0.790200    0.447666    -1.376231
0.790300    0.447540    -1.375897
0.790400    0.447415    -1.375564
0.790500    0.447290    -1.375230
0.790600    0.447164    -1.374896
0.790700    0.447039    -1.374562
0.790800    0.446914    -1.374228
0.790900    0.446788    -1.373894
0.791000    0.446663    -1.373561
0.791100    0.446537    -1.373227
0.791200    0.446412    -1.372893
0.791300    0.446286    -1.372559
0.791400    0.446160    -1.372225
0.791500    0.446035    -1.371891
0.791600    0.445909    -1.371557
0.791700    0.445783    -1.371224
0.791800    0.445657    -1.370890
0.791900    0.445532    -1.370556
0.792000    0.445406    -1.370222
0.792100    0.445280    -1.369888
0.792200    0.445154    -1.369554
0.792300    0.445028    -1.369220
0.792400    0.444902    -1.368886
0.792500    0.444776    -1.368552
0.792600    0.444650    -1.368218
0.792700    0.444524    -1.367884
0.792800    0.444398    -1.367550
0.792900    0.444271    -1.367216
0.793000    0.444145    -1.366882
0.793100    0.444019    -1.366548
0.793200    0.443893    -1.366214
0.793300    0.443766    -1.365880
0.793400    0.443640    -1.365546
0.793500    0.443514    -1.365211
0.793600    0.443387    -1.364877
0.793700    0.443261    -1.364543
0.793800    0.443134    -1.364209
0.793900    0.443008    -1.363875
0.794000    0.442881    -1.363541
0.794100    0.442755    -1.363207
0.794200    0.442628    -1.362873
0.794300    0.442501    -1.362538
0.794400    0.442375    -1.362204
0.794500    0.442248    -1.361870
0.794600    0.442121    -1.361536
0.794700    0.441994    -1.361201
0.794800    0.441867    -1.360867
0.794900    0.441740    -1.360533
0.795000    0.441614    -1.360199
0.795100    0.441487    -1.359864
0.795200    0.441360    -1.359530
0.795300    0.441233    -1.359196
0.795400    0.441105    -1.358862
0.795500    0.440978    -1.358527
0.795600    0.440851    -1.358193
0.795700    0.440724    -1.357859
0.795800    0.440597    -1.357524
0.795900    0.440470    -1.357190
0.796000    0.440342    -1.356856
0.796100    0.440215    -1.356521
0.796200    0.440088    -1.356187
0.796300    0.439960    -1.355852
0.796400    0.439833    -1.355518
0.796500    0.439705    -1.355183
0.796600    0.439578    -1.354849
0.796700    0.439450    -1.354515
0.796800    0.439323    -1.354180
0.796900    0.439195    -1.353846
0.797000    0.439067    -1.353511
0.797100    0.438940    -1.353177
0.797200    0.438812    -1.352842
0.797300    0.438684    -1.352508
0.797400    0.438556    -1.352173
0.797500    0.438429    -1.351839
0.797600    0.438301    -1.351504
0.797700    0.438173    -1.351169
0.797800    0.438045    -1.350835
0.797900    0.437917    -1.350500
0.798000    0.437789    -1.350166
0.798100    0.437661    -1.349831
0.798200    0.437533    -1.349496
0.798300    0.437405    -1.349162
0.798400    0.437276    -1.348827
0.798500    0.437148    -1.348492
0.798600    0.437020    -1.348158
0.798700    0.436892    -1.347823
0.798800    0.436763    -1.347488
0.798900    0.436635    -1.347154
0.799000    0.436507    -1.346819
0.799100    0.436378    -1.346484
0.799200    0.436250    -1.346149
0.799300    0.436121    -1.345815
0.799400    0.435993    -1.345480
0.799500    0.435864    -1.345145
0.799600    0.435735    -1.344810
0.799700    0.435607    -1.344475
0.799800    0.435478    -1.344140
0.799900    0.435349    -1.343806
0.800000    0.435221    -1.343471
0.801000    0.433931    -1.340121
0.802000    0.432637    -1.336771
0.803000    0.431340    -1.333419
0.804000    0.430039    -1.330065
0.805000    0.428734    -1.326711
0.806000    0.427425    -1.323354
0.807000    0.426112    -1.319997
0.808000    0.424795    -1.316638
0.809000    0.423475    -1.313277
0.810000    0.422150    -1.309914
0.811000    0.420821    -1.306550
0.812000    0.419489    -1.303185
0.813000    0.418152    -1.299817
0.814000    0.416811    -1.296448
0.815000    0.415466    -1.293077
0.816000    0.414116    -1.289705
0.817000    0.412763    -1.286330
0.818000    0.411405    -1.282954
0.819000    0.410043    -1.279576
0.820000    0.408677    -1.276195
0.821000    0.407306    -1.272813
0.822000    0.405931    -1.269429
0.823000    0.404551    -1.266042
0.824000    0.403167    -1.262654
0.825000    0.401779    -1.259263
0.826000    0.400386    -1.255871
0.827000    0.398989    -1.252476
0.828000    0.397587    -1.249078
0.829000    0.396180    -1.245679
0.830000    0.394769    -1.242277
0.831000    0.393353    -1.238872
0.832000    0.391932    -1.235465
0.833000    0.390506    -1.232056
0.834000    0.389076    -1.228644
0.835000    0.387641    -1.225230
0.836000    0.386201    -1.221812
0.837000    0.384756    -1.218393
0.838000    0.383306    -1.214970
0.839000    0.381851    -1.211545
0.840000    0.380390    -1.208117
0.841000    0.378925    -1.204686
0.842000    0.377455    -1.201252
0.843000    0.375979    -1.197815
0.844000    0.374499    -1.194375
0.845000    0.373012    -1.190932
0.846000    0.371521    -1.187486
0.847000    0.370024    -1.184037
0.848000    0.368522    -1.180585
0.849000    0.367014    -1.177129
0.850000    0.365501    -1.173670
0.851000    0.363982    -1.170207
0.852000    0.362458    -1.166741
0.853000    0.360928    -1.163272
0.854000    0.359392    -1.159799
0.855000    0.357851    -1.156323
0.856000    0.356303    -1.152842
0.857000    0.354750    -1.149358
0.858000    0.353191    -1.145871
0.859000    0.351625    -1.142379
0.860000    0.350054    -1.138884
0.861000    0.348477    -1.135384
0.862000    0.346893    -1.131881
0.863000    0.345303    -1.128373
0.864000    0.343707    -1.124861
0.865000    0.342105    -1.121345
0.866000    0.340496    -1.117825
0.867000    0.338881    -1.114300
0.868000    0.337259    -1.110771
0.869000    0.335630    -1.107238
0.870000    0.333995    -1.103699
0.871000    0.332353    -1.100156
0.872000    0.330704    -1.096609
0.873000    0.329049    -1.093056
0.874000    0.327386    -1.089499
0.875000    0.325716    -1.085937
0.876000    0.324040    -1.082370
0.877000    0.322356    -1.078797
0.878000    0.320665    -1.075220
0.879000    0.318966    -1.071637
0.880000    0.317260    -1.068048
0.881000    0.315547    -1.064455
0.882000    0.313826    -1.060856
0.883000    0.312097    -1.057251
0.884000    0.310361    -1.053640
0.885000    0.308617    -1.050024
0.886000    0.306865    -1.046402
0.887000    0.305105    -1.042773
0.888000    0.303336    -1.039139
0.889000    0.301560    -1.035498
0.890000    0.299775    -1.031852
0.891000    0.297982    -1.028199
0.892000    0.296181    -1.024539
0.893000    0.294371    -1.020873
0.894000    0.292552    -1.017200
0.895000    0.290724    -1.013520
0.896000    0.288888    -1.009833
0.897000    0.287042    -1.006140
0.898000    0.285188    -1.002439
0.899000    0.283324    -0.998731
0.900000    0.281451    -0.995015
0.901000    0.279568    -0.991292
0.902000    0.277676    -0.987562
0.903000    0.275774    -0.983823
0.904000    0.273863    -0.980077
0.905000    0.271941    -0.976323
0.906000    0.270009    -0.972561
0.907000    0.268067    -0.968790
0.908000    0.266115    -0.965011
0.909000    0.264152    -0.961223
0.910000    0.262179    -0.957427
0.911000    0.260195    -0.953622
0.912000    0.258199    -0.949807
0.913000    0.256193    -0.945984
0.914000    0.254176    -0.942151
0.915000    0.252147    -0.938309
0.916000    0.250107    -0.934457
0.917000    0.248054    -0.930595
0.918000    0.245990    -0.926723
0.919000    0.243914    -0.922841
0.920000    0.241826    -0.918949
0.921000    0.239725    -0.915046
0.922000    0.237612    -0.911133
0.923000    0.235486    -0.907208
0.924000    0.233347    -0.903272
0.925000    0.231194    -0.899325
0.926000    0.229028    -0.895367
0.927000    0.226849    -0.891396
0.928000    0.224656    -0.887414
0.929000    0.222448    -0.883419
0.930000    0.220227    -0.879412
0.931000    0.217991    -0.875392
0.932000    0.215740    -0.871360
0.933000    0.213474    -0.867314
0.934000    0.211192    -0.863254
0.935000    0.208895    -0.859181
0.936000    0.206583    -0.855094
0.937000    0.204254    -0.850992
0.938000    0.201909    -0.846876
0.939000    0.199547    -0.842745
0.940000    0.197168    -0.838599
0.941000    0.194772    -0.834438
0.942000    0.192358    -0.830260
0.943000    0.189926    -0.826066
0.944000    0.187476    -0.821856
0.945000    0.185007    -0.817629
0.946000    0.182520    -0.813385
0.947000    0.180013    -0.809123
0.948000    0.177486    -0.804843
0.949000    0.174938    -0.800544
0.950000    0.172371    -0.796227
0.951000    0.169782    -0.791891
0.952000    0.167171    -0.787534
0.953000    0.164539    -0.783158
0.954000    0.161884    -0.778760
0.955000    0.159206    -0.774342
0.956000    0.156505    -0.769902
0.957000    0.153780    -0.765439
0.958000    0.151030    -0.760954
0.959000    0.148255    -0.756445
0.960000    0.145455    -0.751913
0.961000    0.142628    -0.747355
0.962000    0.139774    -0.742773
0.963000    0.136892    -0.738164
0.964000    0.133982    -0.733529
0.965000    0.131043    -0.728866
0.966000    0.128074    -0.724176
0.967000    0.125074    -0.719456
0.968000    0.122043    -0.714706
0.969000    0.118979    -0.709926
0.970000    0.115882    -0.705114
0.971000    0.112751    -0.700269
0.972000    0.109585    -0.695391
0.973000    0.106382    -0.690479
0.974000    0.103141    -0.685530
0.975000    0.099863    -0.680545
0.976000    0.096544    -0.675521
0.977000    0.093184    -0.670458
0.978000    0.089782    -0.665355
0.979000    0.086336    -0.660209
0.980000    0.082845    -0.655019
0.981000    0.079306    -0.649784
0.982000    0.075719    -0.644502
0.983000    0.072081    -0.639171
